[00:00] 最近Codex-APP的能力越來越全面
[25:21] 这里显示机廟以联接就配置成功了
[25:24] 然后我们先开启一个对话
[25:26] 树协港调用其我们的差件
[25:28] 先选择给他捕
[25:29] 你看一下我4-2000前时的开源项目还有4-5
[25:33] 然后我们再换起第二个差件
[25:35] 机廟用我的账户发游件给我自己
[25:38] 做一个拘谣开始
[25:40] 好任务处理完成了游件也已经发送了
[25:42] 我们去机廟游箱看一下
[25:44] 在机廟游箱里面就可以看到这封
[25:47] 自己发给自己的游件
[25:48] 裡面對我斯大叔兩前十的項目做了一個車友
[25:51] 追尝的不錯
[25:52] 接下來我想每周都運行一下這些任務
[25:55] 來觀察一下我這些倉庫的斯大叔兩有沒有上漲
[25:58] 我跟Codex說很好
[26:00] 你把上輸工作做成一個自動化
[26:02] 然後每周五下午4點都發有件給我
[26:05] 開始
[26:05] 好這個自動化工作就創建了
[26:07] 我們可以在左側邊藍找到自動化
[26:10] 這裡有一個數字一
[26:11] 點進去就可以看到我們的自動化工作了
[26:14] 點擊這個小千底還可以進行編輯
[26:17] 比如可以编辑它重复執行的时间
[26:19] 是每周每天还是没小时
[26:21] 编辑它使用的模型
[26:23] 一般这种简单的自动化任务
[26:25] 我们选择这种迷你模型就可以了
[26:27] 还可以点击这个立即运行按钮
[26:29] 再测试一下
[26:30] 拔在此还有一点非常好
[26:31] 它在執行过程中
[26:33] 如果接累了经验
[26:34] 它会把它的经验
[26:35] 写成这么一个Memory点MD的文件
[26:37] 用来帮助下一次自动化執行
[26:40] 这个功能非常的不错
[26:41] 很好用
[26:42] 这个定身无功能
[26:43] 配合流览其自动化
[26:45] 还有烤酱酱又死
[26:46] 玩法就更多了
[26:47] 我们在右上角点击
[26:48] 新建肆动画功能
[26:50] 比如我可以让它用MacOS的
[26:52] computer又死
[26:53] 把今天TIMC上的精日聊天记录
[26:55] 会总成工作日报发给老板
[26:57] 或者让它用内置流览器
[26:59] 打开哪个网站
[27:00] 然后点击千刀按钮千刀
[27:02] 这些都可以发挥自己的想象力
[27:04] 打造个人好玩了玩法
[27:06] Skills是给AEA
[27:08] Agent的一个专业技能包
[27:09] 或者说是一种戴木录的说明书
[27:11] 我们可以把工作流
[27:12] 专业能力
[27:13] 或者某些规范
[27:14] 封装定制成一个个Skills
[27:16] 交给AAA正特
[27:18] 让A正特在執行特定任务的时候
[27:20] 更稳定更高效
[27:21] 输出也更可靠
[27:23] 在之前的这期视频里面
[27:24] 我介绍了Skills的概念与技术原理
[27:27] 本章节我们介绍三种
[27:29] 给Codex按钻Skills的方法
[27:31] 分别是官方Skills
[27:33] 第三方Skills
[27:35] 还有四级编写Skills
[27:36] 在Codex的差件
[27:38] 跟技能里面都可以找到官方的技能
[27:40] 这里分了有点怪
[27:41] 因为有的差件本身
[27:43] 它就是一个技能
[27:44] 比如我们来看这个荣某神
[27:46] 荣某神是一个让一些用编成的方式
[27:49] 来创建动画视频的工具
[27:50] 我们看到这里面只包含一个荣某神Best Pricate死技能
[27:54] 它也没有任何的软件包
[27:56] 但是它还是规到差件里面的
[27:58] 我们先把荣某神安装一下
[28:00] 我在装面新建了一个荣某神项目文件夹
[28:03] 然后我们在Codex天家新项目
[28:05] 选择这个新文件夹
[28:07] 使用鞋线换其我们刚才安装的Skilled
[28:10] 这里输入铁日词
[28:11] 幫我生成一個3D原追百的視頻動畫
[28:14] 需要有收理分析,角塑度隨時間緩慢增大
[28:18] 開始
[28:18] Codex掉用了 remote線技能
[28:21] 它學習到了如何使用 remote線來創建這種視頻
[28:24] LateL
[28:25] 好認完成Codex為我們交付了一個完成視頻
[28:29] 開起了一個網頁版的剪輯工具
[28:31] 我們先看看視頻
[28:32] 這是一個3D原追百的動畫演示
[28:35] 我們再看一下這個網頁
[28:36] 一個網頁版的 remote線剪輯
[28:38] 好 照我们就掉用了荣某盛官方技能
[28:41] 为我们生成了完成视频
[28:43] 接下来我们看一个第三方Skills3案例
[28:46] 这是我在给它不上面找的规葬开发的
[28:49] 电子杂制风往EpptSkills
[28:52] AID用这个Skills可以设计出这种风格的网页板的PBT
[28:56] 可以把它用在现下分享
[28:57] 行业内部讲话
[28:59] 更人风格的演讲等等
[29:00] 我们来测试一下
[29:01] 首先第一步把这个Skills下载一下
[29:03] 在扣的这里点击当路的ZIP
[29:06] 然后我们打开R-SlowBull
[29:07] 打开R-SlowBull里面有这么一个文件
[29:09] 我先把它复制出来
[29:10] 我又新闻见了一个叫做PBT的文件家
[29:14] 进来后我们创建一个名字叫做
[29:16] 点Codex的紫文件家
[29:17] 在这个紫文件家里面
[29:19] 我们在新建一个叫做Skills的紫文件家
[29:22] 然后把我们从给它不上面下载的Skills
[29:26] 直接放到这个Skills的紫文件家里面
[29:29] 我们回到Codex
[29:31] 天下新项目
[29:32] 找到我们的PBT项目
[29:33] 我们直接写线
[29:34] 找到PBT-Skill
[29:36] 然后输入我们的需求
[29:38] 根据一下材料生成PBT
[29:40] 我把视频开头的断文案沾切过来开始
[29:43] Codex完成了任务我们打开看眼
[29:45] PBT效果非常不错
[29:47] 相略得到重点突出
[29:49] 还加了很多高级的动效
[29:51] 把视频开头的断文案里的内容全部表达出来了
[29:54] 直接就可以拿来上台眼睛或者路置视频
[29:57] 接下来我们来看第三种使用Skills的方法
[30:00] 也就是自己创建Skills
[30:01] 拍拔下作有一个视频博主经常会有一个需求
[30:04] 就是把我做的视频转换成突温笔记
[30:07] 然后发到各个平台上面
[30:09] 这里我就从减减转件里面倒出了一个视频
[30:12] 还有他对应的资母文件
[30:13] 然后我想把它转换成马克弹格式的突温较成
[30:16] 我准备把这个工作流编制成一个Skilled
[30:19] 后续遇到类似的工作
[30:21] 我都调用这个Skilled让Codex帮我处理
[30:24] 我新建了一个项目文件家
[30:26] 然后我来到Codex
[30:27] 天家新项目
[30:28] 选择新建的项目文件家
[30:30] 我们输入鞋线,然后找到Codex内置技能,Skill Creator
[30:34] 一个帮助我们创建技能的技能,加来输入提示词
[30:38] 创建一个Skill当我提供视频跟资母文件的时候
[30:41] 这里介绍一个技巧,当我们输入一行命令的时候如果想换行
[30:45] 我们不能点回车,点回车就直接发送了
[30:48] 换行我们使用是否的加回车
[30:50] 第一步读取资母文件,转换成Mac当笔记
[30:53] 接下来我有铁了很多要求
[30:55] 让它能够自动天价标点,化分段落
[30:58] 還有一個重點是截圖戰衛服
[31:00] 如果某一句設計代碼講解USG或能夠介入
[31:04] 視覺材料理解內容
[31:05] 就在這句夢委天家一個截圖標記
[31:08] 第一步做完了以後再做第二步
[31:10] 調用FNPG在每個截圖提示位置進行截圖
[31:14] 然後用本地圖片替換掉MAKERDON裡面的截圖戰衛服
[31:18] 好我們開始
[31:18] Codax說它會使用Skill Creator
[31:21] 把這套流程固化成可服用的Skill
[31:23] 這正是我想要的
[31:25] 我們注意到這裏有一個很有意思的點
[31:27] 它在清理測試文件
[31:28] 但是每次它只剩1個
[31:30] 因為之前的張結我介紹機系統的時候
[31:33] 在這裡增加了全局提示詞
[31:35] 由求它只能使用瑞木Itham1個文件刪除
[31:38] 不能批良刪除文件
[31:40] 我們看到Codex嚴格遵守了我的約定
[31:42] 表現非常的好
[31:43] 任務完成了它交付了一個SQ.MD文件
[31:46] 還有一個用來批良替換截圖的拍攝角本
[31:49] 好我們馬上來測試一下
[31:51] 這裡在新開一個對話
[31:53] 我們直接輸入寫信
[31:54] 找到Codex由於我們創建的技能
[31:56] 就是视频字幕转码克盗
[31:58] 接下来我在工程文件墙里面准备了一个字幕一个视频
[32:01] 我跟Codex说我准备了字幕跟视频帮我转换
[32:05] Codex先是调用了技能
[32:07] 读取到了它的流程要求
[32:09] 然后看到了我放在工作区里面的视频和字幕文件
[32:12] 接下来它开始生成码克盗
[32:14] Codex成功调用了我们自制的技能
[32:16] 把视频跟字幕转换成了码克盗文件
[32:19] 我们来看一下
[32:20] 这里选择用VScode打开这个笔记
[32:23] 然后按快点件烤创试负的加游V
[32:25] 宣染成MagDongGosh
[32:27] 我们看到一个图文并贸的比机架成就转化完成了
[32:30] 不代词为我们画分的段落
[32:32] 然后在每个关键位置都配上了图片
[32:35] 效果非常的好
[32:37] 除了使用插件和Skills 还有一个扩展
[32:39] Codex能力的方法就是AMCP
[32:42] AMCP全程是模型上下文协议
[32:45] 简单来说AMCP就是AA大模型的标准化工具箱
[32:49] 大模型可以利用这些工具与外界互动
[32:51] 或取信息并且完成具体任务
[32:54] 在Codex里面MCP的入口隐藏的比较深
[32:57] 我们来到左下角的设置
[32:58] 这里有MCP服务器
[33:00] 点击天家服务器
[33:02] 我们来看一个例子
[33:03] Superbase是一个开原免费的
[33:05] Possil grass云端树就库
[33:06] 在爬拔下之前的这期视频里面
[33:09] 有Superbase的详细介绍
[33:11] 这里我们来到个人主义
[33:12] 点击创建新项目
[33:14] 天写个项目名字
[33:15] 我准备给我们重估几乎的那个项目
[33:17] 增加后台的树就库
[33:19] 点击创建
[33:20] 项目创建完成以后
[33:21] 点击顶部的Connect and按钮
[33:23] 然后找到MCP 客户端选择Codex
[33:26] 我们看到这里给了一个UI-R
[33:28] 我们把这个UI-R负质一下
[33:30] 回到Codex 选择留事
[33:32] HTDP的传输方式
[33:34] 填写上UI-R
[33:35] MCP的名字就是Superbase-MCP
[33:38] 下面这些都不用填 直接保存
[33:40] 接下来我们回到Codex
[33:42] 右上角有一个切换中端
[33:44] 紧有我们点击一下
[33:45] 这里就打开了我的PowerShare中端
[33:47] 然后我们按照提示书这个命令
[33:49] Codex-MCP Logging Superbase
[33:52] 流染器里面自动打开了一个受权窗口
[33:55] 这里我们点击受权
[33:56] 这样sopeur-BSMCP就配置完成了
[33:59] 注意受权完成以后一定要重起一次Codex
[34:02] 这里输入提示词使用sopeur-BSMCP创建一个约15秒
[34:06] 我的需求是把用户的表单纯入约15秒里面
[34:10] 书就库写入操作应该从后端用Sashin Pro的形式写入开始
[34:15] Codex调用sopeur-BSMCP为我们创建出了约约表
[34:19] 然后它在后端加入了一个新的端点
[34:21] 使用Possil过来死连接持的方式来写入数据
[34:24] 让我完成了Todiac此为我们创建了约表
[34:27] 然后在后端使用Possil过来死连接持写入数据
[34:31] 改了前端的表单提交
[34:32] 现在我们要做的就是在配置文件里面
[34:35] 填上Possil过来死连接地址
[34:37] 这里我用Vasko的打开
[34:38] 找到点煎微点楼扣着个文件
[34:40] 然后我们在Support B4这边找到Connect
[34:43] 找到连接持
[34:44] 把下面这个地址负质一下
[34:46] 注意要把这里替换成自己的密码
[34:48] 既然来我跟Codex说我前好了环境辨量你终起一下
[34:52] 这里重起完成
[34:53] 我们在流览器里打开Codex给我们的练接
[34:56] 把这个表单填写一下
[34:58] 然后点击预约
[34:59] 又下角谈出了提示预约成功
[35:01] 既然来我们回到Superbase的网页端
[35:04] 在Table这里找到它为我们创电的表
[35:06] 这里看到用户的预约数据就写入了书级库
[35:09] 照我们成功使用Superbase 3Cp
[35:11] 给这个项目添加了后端功能
[35:13] 并且把书级成功写入了书级库
[35:15] 项目的所有代码我都放到了
[35:17] 给它不得开原倉库下面
[35:19] 感兴趣的观众朋友们可以来参考一下
[35:22] 接下来我在简单介绍一个
[35:24] Codex上好用的插件
[35:25] 我们来到插件
[35:26] 这里我准备使用Netleti-Fi
[35:28] Netleti-Fi是一个免费提供竞台网页
[35:31] 诺的这也是
[35:32] 或者Netleti-Fi 像模部属的网络扶平台
[35:35] 我们先把它按装一下
[35:37] 这里点击加号点击按装
[35:39] 这里谈出了Netleti-Fi的登入意面
[35:41] 我先用给它不登入一下
[35:42] 然后点击数权
[35:44] 找到这个Fremorke功能
[35:45] 可以把Next的S下目不属到Netletary Files上面
[35:49] 我让Codex幫我把下目不属到Netletary Files上面
[35:52] Codex成功把这个重複起户的网站不属到Netletary Files
[35:55] 并且给了我们一个公王可用的语名
[35:58] 我们点进去试一下
[35:59] 我们的网站就不属好了
[36:01] 而且成功打开了
[36:02] 使用Netletary Files还有个好处
[36:04] 这个网站的语名在国内是可以直联的
[36:07] 终于我们来到了最后一个张检
[36:09] 电脑自动化
[36:10] 让Codex帮我们操作电脑完成一些工作
[36:13] 在最后一个张检
[36:14] 我们就不编成了
[36:15] 我们做一点轻松好玩的事情
[36:17] 这里我们来到Codex差件
[36:19] 这里要注意 computer use 这个差件目前只有Mac电脑才可以使用
[36:23] 所以这里我用的家里的Mac mini进行的演示
[36:26] 我们先点击这个家号把 computer use 差件安装一下
[36:30] 按中完成以后我们新开一个对话
[36:32] 叔入Ed 然后选择 computer use
[36:35] 然后叔入我的指令
[36:36] 你打开聊天软件
[36:37] 找到老板发送你好
[36:39] Codex成功完成了操作
[36:40] 然后寻用我是否确认发送
[36:42] 这里我确认发送
[36:44] 然后消息就成功发出去了,非常的不错
[36:46] 接下来我们看一个复杂一点的案例
[36:48] 这里我给Codex一个KTB上面的进度看板
[36:52] 团队使用这个看板来追踪每个公弹的进度
[36:55] 我让Codex就用流览器打开这个看板
[36:57] 把里面的项目进度会总一下
[36:59] 然后做一个英文版的简报发送给老板
[37:02] 这里Codex申请数权
[37:04] 丢用我的Corm流览器,我点击确认
[37:06] 然后打开了Corm流览器,查约了团队所有公弹的进度情况
[37:10] 然后它又进行了一些细节确认
[37:13] computer又死這個功能非常的好
[37:15] 因為它使用了一個虛擬主標在後台自動運行
[37:18] 沒有戰用我當前窗口
[37:20] 它對項目競展作了一個總結
[37:22] 再次詢問我是否發送
[37:23] 我點擊確認
[37:24] 這樣就發送成功了
[37:26] 接下來我們可以直接把這個流程進行自動化
[37:29] 我說很好
[37:29] 一般以上的流程做成一個自動化
[37:32] 然後每天下午5點凌下班的時候
[37:34] 都發一個簡報發送給老闆
[37:36] Codex把這個任務編製成了一個自動化的定失誤
[37:39] 我們可以在左側自動化
[37:40] 找到Codex創建的任務
[37:42] 任務的內容就是打開給他把看板
[37:45] 然後對裡面的內容進行一個總結
[37:47] 最後通過了天軟件發送給老闆
[37:49] 每天5.0點執行
[37:51] 非常的棒
[37:51] 這裡提醒下大家
[37:53] 如果想用Codex自動化工能
[37:55] 每天定時完成任務
[37:56] 最好我們在設置裡面
[37:58] 開啟這個運行時防止系統修免的開關
[38:01] 這個開關是麥克典腦上獨有的
[38:03] 溫度自系統不需要處理這一步種
[38:05] 這就是本期視頻的全部內容了
[38:07] 感謝大家看到這裡
[38:09] 也感謝大家的點贊支持
[38:11] 我們下期再見
